ID,Latitude,Longitude,City,State,Population,Zoo,Num of Zoos,Pet Shops,Num of Pet Shops,Light Rail,Num of Light Rails
22902,31.33824,-94.7291,Lufkin,TX,36333,Ellen Trout Zoo,1.0,PetSmart,1.0,Standpipe Coffee House,2.0
22903,32.56319,-97.14168,Mansfield,TX,64274,No zoo found,0.0,PetSmart,4.0,Starbucks,7.0
22904,32.54487,-94.36742,Marshall,TX,23820,No zoo found,0.0,No BBQ found,0.0,No Light Rail found,0.0
22905,26.20341,-98.23001,McAllen,TX,140269,National Butterfly Center,1.0,PetSmart,4.0,Starbucks,7.0
22906,33.19762,-96.61527,McKinney,TX,162898,No zoo found,0.0,Petco,2.0,Starbucks,17.0
22907,26.1498,-97.91361,Mercedes,TX,16657,No zoo found,0.0,Petco,1.0,Starbucks,1.0
22908,32.7668,-96.59916,Mesquite,TX,144788,No zoo found,0.0,PetSmart,3.0,Starbucks,10.0
22909,32.48236,-96.99445,Midlothian,TX,22318,No zoo found,0.0,Petco,2.0,Starbucks,6.0
22910,26.21591,-98.32529,Mission,TX,83298,National Butterfly Center,1.0,Petco,3.0,Starbucks,6.0
22911,29.69384,-95.66495,Mission Bend,TX,36501,No zoo found,0.0,PetSmart,9.0,Starbucks,34.0
22912,29.61857,-95.53772,Missouri City,TX,74139,No zoo found,0.0,Petco,12.0,The Prairie Table,38.0
22913,33.15679,-94.96827,Mount Pleasant,TX,16051,No zoo found,0.0,PetSense,1.0,Jo's,2.0
22914,33.01512,-96.61305,Murphy,TX,20610,No zoo found,0.0,PetSmart,8.0,Starbucks,39.0
22915,31.60351,-94.65549,Nacogdoches,TX,33894,No zoo found,0.0,PetSense,1.0,Java Jacks,2.0
22916,29.97438,-93.9924,Nederland,TX,17196,No zoo found,0.0,Petco,2.0,Starbucks,2.0
22917,29.703,-98.12445,New Braunfels,TX,70543,No zoo found,0.0,PetSmart,2.0,Starbucks,1.0
22918,29.59412,-95.68078,New Territory,TX,15186,No zoo found,0.0,PetSmart,4.0,Starbucks,14.0
22919,32.8343,-97.2289,North Richland Hills,TX,69204,No zoo found,0.0,PetSmart,13.0,Starbucks,33.0
22920,30.09299,-93.73655,Orange,TX,19347,No zoo found,0.0,No BBQ found,0.0,No Light Rail found,0.0
22921,31.76212,-95.63079,Palestine,TX,18288,No zoo found,0.0,No BBQ found,0.0,Old Magnolia Coffee Shop,3.0
22922,33.66094,-95.55551,Paris,TX,24782,No zoo found,0.0,Petco,1.0,Starbucks,1.0
